title,url,country,doc_type,programme,sector,pub_date,collection_date,file_format
REACH Ukraine MSNA 2025 – Dataset (September 2025) – Revised,https://repository.impact-initiatives.org/document/impact/c42089f0/REACH_UKR_Dataset_MSNA-2025_September-2025_revised.xlsx,Ukraine,Dataset,Multi-Sector Needs Assessment (MSNA),"Education, Emergency Shelter and NFI, Food Security &amp; Livelihoods (FSL), Health, Nutrition, Protection, Water Sanitation Hygiene (WASH)",15 September 2025,22 July 2025 - 18 August 2025,EXCEL
REACH Ukraine Calibration 2024 – Round 3 – Dataset,https://repository.impact-initiatives.org/document/impact/4a7616dc/REACH_UKR_Dataset_Calibration-Round-3_February-2025.xlsx,Ukraine,Dataset,Multi-Sector Needs Assessment (MSNA),-,17 February 2025,16 December 2024 - 18 January 2025,EXCEL
REACH Ukraine 2024 MSNA Dataset - General Population - Revised,https://repository.impact-initiatives.org/document/impact/f20889d1/REACH_UKR_Dataset_MSNA_Aug2024_GeneralPopulation-revised.xlsx,Ukraine,Dataset,Multi-Sector Needs Assessment (MSNA),-,8 August 2024,21 May 2024 - 2 July 2024,EXCEL
REACH Ukraine 2024 MSNA Dataset - Displacement - Revised,https://repository.impact-initiatives.org/document/impact/42466770/REACH_UKR_Dataset_UK2403_Aug2024_Displacement-Revised.xlsx,Ukraine,Dataset,Multi-Sector Needs Assessment (MSNA),-,8 August 2024,21 May 2024 - 2 July 2024,EXCEL
REACH UKR Dataset MSNA within 20km of Contact Line Sept2020,https://repository.impact-initiatives.org/document/impact/ea89b6d4/REACH_UKR_Dataset_MSNA-within-20km-of-Contact-Line_Sept2020.xlsx,Ukraine,Dataset,Multi-Sector Needs Assessment (MSNA),-,16 October 2020,30 July 2020 - 15 August 2020,EXCEL
REACH UKRAINE | Trend Analysis 2018 Dataset | Donetska and Luhanska Oblasts (GCA),https://repository.impact-initiatives.org/document/impact/de62772f/reach_ukr_ta2018_dataset_final_14aug2018_for_share.xlsx,Ukraine,Dataset,Multi-Sector Needs Assessment (MSNA),-,12 November 2018,1 August 2018 - 31 August 2018,EXCEL
